n,bubble,insertion,merge,quick,radix(only non-negative),stalin,heap,communizm
34,2.6599998818710446e-05,1.5099998563528061e-05,2.339998900424689e-05,1.889999839477241e-05,1.8699996871873736e-05,1.200009137392044e-06,5.00003807246685e-07,2.3999993572942913e-05
35,2.8299997211433947e-05,1.649999467190355e-05,2.509998739697039e-05,2.0199993741698563e-05,1.9800005247816443e-05,1.2999953469261527e-06,5.00003807246685e-07,2.510000194888562e-05
36,2.990000939462334e-05,1.7400001524947584e-05,2.5200002710334957e-05,1.999999221879989e-05,1.9500002963468432e-05,1.2999953469261527e-06,5.00003807246685e-07,2.680000034160912e-05
37,3.170000854879618e-05,1.8100006855092943e-05,2.61999957729131e-05,2.0899999071843922e-05,2.0499996026046574e-05,1.2999953469261527e-06,5.00003807246685e-07,2.7700007194653153e-05
38,3.300000389572233e-05,1.930000144056976e-05,2.749999111983925e-05,2.1800005924887955e-05,2.0899999071843922e-05,1.300009898841381e-06,5.00003807246685e-07,2.8399997972883284e-05
39,3.470000228844583e-05,2.0099992980249226e-05,2.7699992642737925e-05,2.2199994418770075e-05,2.1200001356191933e-05,1.3999961083754897e-06,5.999900167807937e-07,2.9400005587376654e-05
40,3.640000068116933e-05,2.1499989088624716e-05,2.890000178012997e-05,2.3600005079060793e-05,2.200000744778663e-05,1.3999961083754897e-06,6.00004568696022e-07,3.0399998649954796e-05
41,3.840000135824084e-05,2.1899992134422064e-05,2.9499991796910763e-05,2.4199995095841587e-05,2.239999594166875e-05,1.3999961083754897e-06,6.00004568696022e-07,3.120000474154949e-05
42,4.020000051241368e-05,2.2899999748915434e-05,3.0400013201870024e-05,2.4199995095841587e-05,2.3100001271814108e-05,1.400010660290718e-06,6.00004568696022e-07,3.2800002372823656e-05
43,4.2400002712383866e-05,2.439999661874026e-05,3.189999551977962e-05,2.549999044276774e-05,2.3699998564552516e-05,1.4999968698248267e-06,6.00004568696022e-07,3.37999954354018e-05
44,4.509999416768551e-05,2.5999994250014424e-05,3.300000389572233e-05,2.570000651758164e-05,2.4299995857290924e-05,1.600012183189392e-06,6.999907782301307e-07,3.640000068116933e-05
45,4.8999994760379195e-05,2.6600013370625675e-05,3.3800009987317026e-05,2.710000262595713e-05,2.5500004994682968e-05,1.5999976312741637e-06,6.00004568696022e-07,3.650000144261867e-05
46,4.939999780617654e-05,2.8399997972883284e-05,3.569999535102397e-05,2.750000567175448e-05,2.609999501146376e-05,1.600012183189392e-06,6.00004568696022e-07,3.6600002204068005e-05
47,5.190000229049474e-05,2.8400012524798512e-05,3.569999535102397e-05,2.8599999495781958e-05,2.5999994250014424e-05,1.5999976312741637e-06,6.00004568696022e-07,3.7600009818561375e-05
48,5.269999383017421e-05,3.060000017285347e-05,3.569999535102397e-05,2.819999644998461e-05,2.649999805726111e-05,1.600012183189392e-06,6.00004568696022e-07,3.91000066883862e-05
49,5.5800002883188426e-05,3.12999909510836e-05,3.710000601131469e-05,2.9000002541579306e-05,2.649999805726111e-05,1.6999983927235007e-06,6.999907782301307e-07,3.980001201853156e-05
50,5.740000051446259e-05,3.260000084992498e-05,3.7299992982298136e-05,2.9499991796910763e-05,2.7000001864507794e-05,1.6999983927235007e-06,6.999907782301307e-07,4.060000355821103e-05
