trial,n,bst_insert_random_s,bst_height_random,bst_insert_best_s,bst_height_best,sortedset_insert_random_s,sortedset_insert_best_s,bst_remove_random_s,sortedset_remove_random_s,ternary_insert_random_s,ternary_height_random,ternary_insert_best_s,ternary_height_best,avl_insert_random_s,avl_height_random,avl_insert_best_s,avl_height_best
13,131071,0.22390730000915937,43,0.12060100000235252,17,0.12750980000419077,0.10086279999813996,0.3142526000010548,0.12041980000503827,0.219632599997567,29,0.17174819999490865,11,1.1291504999971949,20,0.9938799999945331,17
14,131071,0.21204640000360087,43,0.1263191000034567,17,0.1292746000108309,0.09385380000458099,0.2742534999997588,0.13489869999466464,0.21914230000402313,29,0.14528270000300836,11,1.1833609000022989,21,0.9482941000023857,17
15,131071,0.22562040000048,44,0.13025489999563433,17,0.1223463000060292,0.09173729999747593,0.27401069999905303,0.12457960000028834,0.22057730000233278,31,0.17705280000518542,11,1.1289114000101108,20,0.9833201000001281,17
16,131071,0.21331300000019837,45,0.11881310000899248,17,0.12258039999869652,0.09467609999410342,0.2902488999970956,0.11784849999821745,0.20767870001145639,32,0.16506260000460315,11,1.1578719999961322,21,1.0239595000020927,17
17,131071,0.21430839999811724,41,0.12790059999679215,17,0.13202010000532027,0.09294649999355897,0.2567281999945408,0.1168609999876935,0.20873440000286791,28,0.14271180001378525,11,1.240579399993294,20,1.0060194999969099,17
18,131071,0.21722580000641756,42,0.14050789999600966,17,0.1347609999938868,0.09982410000520758,0.31578170000284445,0.13275449999491684,0.2221404000010807,30,0.17877410000073723,11,1.1901488000003155,20,1.0282128999970155,17
19,131071,0.2205032000056235,44,0.12245049999910407,17,0.13132689999474678,0.09229040000354871,0.31249250000109896,0.13273450000269804,0.2543807000038214,31,0.14322839998931158,11,1.2247230999928433,21,0.9837397999945097,17
20,131071,0.2216329999937443,40,0.12481819999811705,17,0.13830789999337867,0.10114440000324976,0.2831187999981921,0.1322556000086479,0.2269976000097813,29,0.1750670000037644,11,1.1845981999940705,20,0.9793948000005912,17
21,131071,0.23003740000422113,42,0.13442919999943115,17,0.13849860000482295,0.09623919999285135,0.27263769999262877,0.1321001000032993,0.2116414999909466,30,0.1576630999916233,11,1.2161018999904627,20,0.9692971999902511,17
22,131071,0.2224084000044968,44,0.12425789999542758,17,0.12416079999820795,0.09118089999537915,0.29965549999906216,0.12579900000127964,0.22457820001000073,31,0.14018210000358522,11,1.1893621999915922,21,0.9816651000001002,17
23,131071,0.20271400001365691,40,0.11999160000414122,17,0.12660930000129156,0.09064809999836143,0.276987300007022,0.12234070000704378,0.216663500003051,28,0.17423299999791197,11,1.2007466000068234,20,1.015059500001371,17
24,131071,0.215246699997806,41,0.12572789999831002,17,0.13324219999776687,0.09127930000249762,0.27766589999373537,0.12763810000615194,0.21551300000282936,29,0.14159949999884702,11,1.2828262000111863,20,0.9857141000102274,17
25,131071,0.21865179999440443,39,0.1320914000098128,17,0.16218559999833815,0.11577800000668503,0.2951407000073232,0.1260910000128206,0.21229250000033062,26,0.18509080000512768,11,1.2477627000043867,20,1.1100570999988122,17
26,131071,0.2437251999945147,42,0.13052000000607222,17,0.13588940000045113,0.10648349999974016,0.38036310000461526,0.14385680000123102,0.2664892000029795,30,0.1632448000018485,11,1.286696800001664,21,1.117344400001457,17
27,131071,0.2471736999868881,46,0.13614329999836627,17,0.13941720000002533,0.0976541999989422,0.3047716000000946,0.11789549999230076,0.23073980001208838,32,0.17201520000526216,11,1.218082300008973,21,0.9942321999988053,17
28,131071,0.23871669999789447,37,0.12850750000507105,17,0.12412599999515805,0.08873499999754131,0.2633219999988796,0.15780050000466872,0.264369100012118,26,0.1862500999995973,11,1.1647723000060068,21,1.019976299998234,17
29,131071,0.19324169999163132,40,0.12738720000197645,17,0.12548210000386462,0.08948870000313036,0.2709171000024071,0.12830060000123922,0.21482449999894015,28,0.13562200000160374,11,1.2181633000000147,20,0.9721724999981234,17
30,131071,0.21757559999241494,41,0.12918669999635313,17,0.13147130000288598,0.09423489999608137,0.2923370999924373,0.1222113999974681,0.23497499999939464,33,0.17795930001011584,11,1.162124499998754,20,1.2424182999966433,17
